1.1. act -1, pred 1, sxs 0, qlty 0
1.2. act -1, pred 1, sxs 0, qlty 2
1.3. act -1, pred 1, sxs 0, qlty 2
1.4. act -1, pred -1, sxs 1, qlty 2
1.5. act -1, pred 1, sxs 0, qlty 4
1.6. act -1, pred -1, sxs 1, qlty 2
1.7. act -1, pred -1, sxs 1, qlty 2
1.8. act -1, pred -1, sxs 1, qlty 2
1.9. act -1, pred 1, sxs 0, qlty 0
1.10. act -1, pred -1, sxs 1, qlty 2
1.11. act -1, pred -1, sxs 1, qlty 2
1.12. act -1, pred 1, sxs 0, qlty 2
1.13. act -1, pred 1, sxs 0, qlty 2
1.14. act -1, pred -1, sxs 1, qlty 2
1.15. act -1, pred -1, sxs 1, qlty 2
1.16. act -1, pred -1, sxs 1, qlty 0
1.17. act -1, pred -1, sxs 1, qlty 4
1.18. act -1, pred 1, sxs 0, qlty 2
1.19. act -1, pred 1, sxs 0, qlty 2
1.20. act -1, pred 1, sxs 0, qlty 2
1.21. act -1, pred -1, sxs 1, qlty 4
1.22. act -1, pred -1, sxs 1, qlty 2
1.23. act -1, pred -1, sxs 1, qlty 2
1.24. act -1, pred 1, sxs 0, qlty 2
1.25. act -1, pred -1, sxs 1, qlty 2
1.26. act -1, pred -1, sxs 1, qlty 2
1.27. act -1, pred -1, sxs 1, qlty 2
1.28. act -1, pred -1, sxs 1, qlty 2
1.29. act -1, pred -1, sxs 1, qlty 2
1.30. act -1, pred 1, sxs 0, qlty 0
1.31. act -1, pred -1, sxs 1, qlty 0
2.1. act -1, pred 1, sxs 0, qlty 2
2.2. act -1, pred -1, sxs 1, qlty 0
2.3. act -1, pred 1, sxs 0, qlty 2
2.4. act -1, pred -1, sxs 1, qlty 2
2.5. act -1, pred 1, sxs 0, qlty 2
2.6. act -1, pred 1, sxs 0, qlty 0
2.7. act -1, pred 1, sxs 0, qlty 2
2.8. act -1, pred 1, sxs 0, qlty 2
2.9. act -1, pred 1, sxs 0, qlty 2
2.10. act -1, pred 1, sxs 0, qlty 2
2.11. act -1, pred 1, sxs 0, qlty 2
2.12. act -1, pred 1, sxs 0, qlty 2
2.13. act -1, pred -1, sxs 1, qlty 2
2.14. act -1, pred -1, sxs 1, qlty 4
2.15. act -1, pred -1, sxs 1, qlty 2
2.16. act -1, pred -1, sxs 1, qlty 2
2.17. act -1, pred 1, sxs 0, qlty 2
